iindex,Timestep_0,Day_0,Month_0,Hour_0,Potential_Temperature_0,Mixing_Depth_0,Specific_Humidity_0,Terrain_Altitude_0,Solar_Radiation_0,Latitude_0,Longitude_0,AltP_meters_0,Temperature_C_0,DateTime_0,Timestep_-24,Day_-24,Month_-24,Hour_-24,Potential_Temperature_-24,Mixing_Depth_-24,Specific_Humidity_-24,Terrain_Altitude_-24,Solar_Radiation_-24,Latitude_-24,Longitude_-24,AltP_meters_-24,Temperature_C_-24,Cumulative_Dist_-24,bearings_from_origin_-24,DateTime_-24,DateTime,Year,CloseTime,Julian Open Time,Julian Closing Time,Latitude,Longitude,AltP_feet,AltP_meters,Methane (ppm),CH4 (ppbv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CS2 (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E_B),"1,3-Butadiene (B)",trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),2-Methylheptane (B),3-Methylheptane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)","2,2,4-Trimethylpentane (B)","2,3,4-Trimethylpentane",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane,Methylcylohexane (B),Benzene (E_MS),Toluene (B),Ethylbenzene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS)
10,0,21,7,19,311.1,1057.7,4.9,470,576.8,36.037,-119.39,371.2,30.55,7/21/2009 19:00,-24,20,7,19,311.4,331.5,2.6,70.7,553.5,37.918,-122.412,1234.6,26.45,373822.8421,-0.893169939,7/20/2009 19:00,7/21/2009 19:40,2009,19:41:11,40015.81979,40015.82027,36.03666667,-119.39,1218,371.2464,1.987,198.7,,,507,37.1,,547,244,78,17,4.381,3.4,,64.5,236,25.2,26.5,20.85,9.26,90.4,57.3,0.3,4.09,521,10.26,0.399,0.63,0.3,,,,,10.11,6.95,9.89,1.57,7.48,1.12,2.16,,719,65,109,441,8,59,86,,,,,100,44,,,,,,,,,,31,6,,,,11,7,57,22,8,10,,,,3,11,,4,,,,18,25,,,,,,,4,,,11,30,9,,
11,0,21,7,19,311.6,1086.3,4.6,582.4,578.8,36.113,-119.308,366.1,30.05,7/21/2009 19:00,-24,20,7,19,310.9,346.1,2.1,82,555.2,37.942,-122.35,1125.7,26.95,368366.5197,-0.909445317,7/20/2009 19:00,7/21/2009 19:42,2009,19:42:45,40015.82083,40015.82135,36.11333333,-119.3083333,1201,366.0648,1.891,189.1,,,499,32.1,,533,240,76.9,16.7,4.4,3.5,,59,224,25.3,26.7,20.7,9.1,90.6,55.2,0.24,3.71,507,10.31,0.337,0.62,0.28,,,,,9.41,6.82,8.98,1.48,7.56,0.96,1.99,,771,57,99,389,8,65,91,,,,,84,41,,4,,,,,,,,12,7,,,,8,4,57,8,34,9,,,,,8,,,,,,19,19,5,,,,,,,,,6,21,9,,
12,0,21,7,19,312.1,1118.2,4.4,698.2,580.7,36.182,-119.237,380.4,29.25,7/21/2009 19:00,-24,20,7,19,310.7,362.6,2,97,556.9,37.944,-122.27,1078.7,27.05,361693.9958,-0.925683053,7/20/2009 19:00,7/21/2009 19:43,2009,19:44:16,40015.82188,40015.82241,36.18166667,-119.2366667,1248,380.3904,2.066,206.6,,,487,42,,532,238,76.1,16.6,4.39,3.3,,79.7,273,24.4,27.7,24,9.83,89.7,70.6,0.43,5.65,503,18.29,0.451,0.65,0.34,,,,,10.92,8.91,13.02,2.02,8.6,1.2,2.545,,962,139,184,764,18,79,109,,4,,,192,87,,27,,,,,,,,26,16,,,,16,12,95,26,18,19,,,4,6,20,,6,,,,29,60,,,,,,,,,,9,30,11,4,6
13,0,21,7,19,312.8,1160.9,4.2,845.6,583,36.257,-119.155,374,28.55,7/21/2009 19:00,-24,20,7,19,310.5,381.8,1.9,114.5,558.9,37.943,-122.176,1020.1,27.35,353927.4419,-0.944470868,7/20/2009 19:00,7/21/2009 19:45,2009,19:45:48,40015.82292,40015.82347,36.25666667,-119.155,1227,373.9896,2.139,213.9,,,495,33,,542,242,77.5,16.7,4.495,3.4,,66.3,233,25.5,29,24.45,9.5,92.7,84,0.34,5.41,515,22.18,0.544,0.7,0.28,,,,,12.25,10.28,14.95,2.32,8.62,1.27,2.435,,768,99,163,719,12,56,64,,,,,122,48,,10,,,,,,,,18,21,,,,12,6,81,15,14,13,,,,5,15,,,,,,27,40,6,,,,,,,,,8,20,14,6,4
14,0,21,7,19,313.2,1192.7,4,939.1,584.4,36.333,-119.148,385,27.85,7/21/2009 19:00,-24,20,7,19,310.8,381.1,2,113.8,558.8,37.944,-122.18,1064.9,27.15,349125.709,-0.967042184,7/20/2009 19:00,7/21/2009 19:46,2009,19:47:12,40015.82396,40015.82444,36.33333333,-119.1483333,1263,384.9624,1.859,185.9,,,488,37.2,,541,241,76.8,16.8,4.486,3.6,,85,253,25.2,29.9,29.55,9.77,93.3,72.4,0.72,12.6,510,79.05,0.632,0.72,0.4,,,,,13.47,11.64,20.57,2.9,12.27,1.86,3.735,,1046,182,294,1175,23,181,134,,3,,,287,102,,104,,,,,,,,44,33,4,,,25,19,97,42,40,28,,,7,59,40,,7,,,,46,105,17,,,,,,,,,16,46,17,7,8
15,0,21,7,19,312.7,1177,4.1,868.5,583.2,36.363,-119.248,384.4,28.15,7/21/2009 19:00,-24,20,7,19,311.3,354.1,2.3,88.8,556.1,37.947,-122.314,1179.7,26.75,350744.5323,-0.979633259,7/20/2009 19:00,7/21/2009 19:48,2009,19:48:44,40015.825,40015.82551,36.36333333,-119.2483333,1261,384.3528,2.077,207.7,,,478,17.5,,530,239,76.2,16.4,4.267,3.3,,111.9,258,25,28.5,26.55,9.44,92.5,74.6,0.5,8.16,501,13.59,0.592,0.7,0.3,,,,,14.23,10.06,18.6,2.65,10.21,1.41,3.085,,857,147,220,925,13,166,77,,4,,,164,61,,26,,,,,,,,26,28,,,,19,,88,21,17,23,,,3,8,22,,10,,,,34,55,,,,,,,,,,8,19,7,5,
16,0,21,7,19,312.1,1153.6,4.2,773.8,581.7,36.393,-119.362,384,28.55,7/21/2009 19:00,-24,20,7,19,311.8,325.4,3.2,64,553,37.931,-122.448,1327.3,26.05,351174.5294,-0.995778433,7/20/2009 19:00,7/21/2009 19:49,2009,19:50:13,40015.82604,40015.82654,36.39333333,-119.3616667,1260,384.048,1.995,199.5,,,504,16.1,,534,244,77,16.8,4.657,3.4,,109.4,284,27,31,27.15,9.78,94.4,78.4,1.38,18.41,519,13.05,0.59,0.71,0.3,,,,,14.55,10.45,22.09,3.02,11.77,2.18,4.365,,982,205,415,1382,12,109,134,,3,,,288,100,,,,,,,,,,48,38,5,,,26,18,116,41,26,30,,,8,17,41,,8,,,,52,100,15,,,,,,3,,,13,28,19,8,
17,0,21,7,19,311.6,1129.4,4.2,680.9,580.3,36.425,-119.465,386.2,28.85,7/21/2009 19:00,-24,20,7,19,312.4,301.8,4.3,45.4,549.8,37.891,-122.552,1485.4,25.25,349671.1876,-1.017259722,7/20/2009 19:00,7/21/2009 19:51,2009,19:51:45,40015.82708,40015.8276,36.425,-119.465,1267,386.1816,1.857,185.7,,,498,11.9,,539,242,77.2,16.6,4.533,3.7,,85.4,269,25.3,28.9,23.7,9.38,91.6,75.2,0.67,9.8,509,11.75,0.483,0.59,0.26,,,,,12.49,10.12,18.76,3.86,10.23,1.72,3.535,,776,125,234,890,13,110,86,,,,,196,65,,5,,,,,,,,27,24,,,,20,12,98,23,31,31,,,3,8,24,,6,,,,44,63,10,,,,,,,,,12,47,25,4,
18,0,21,7,19,310.9,1098.4,4.3,568.2,578.7,36.462,-119.578,386.5,29.35,7/21/2009 19:00,-24,20,7,19,312.6,273.6,5.2,21.8,545.7,37.856,-122.689,1622.7,24.35,349963.446,-1.042314424,7/20/2009 19:00,7/21/2009 19:52,2009,19:53:12,40015.82813,40015.82861,36.46166667,-119.5783333,1268,386.4864,1.934,193.4,,,487,10.9,,533,243,77.3,16.7,4.295,3.3,,64.7,234,24.1,26.7,22.5,9.42,92.2,65.2,0.31,5.33,500,9.59,0.381,0.66,0.24,,,,,10.99,7.18,11.42,1.62,6.07,1.04,2.005,,660,72,138,508,9,84,52,,,,,108,38,,,,,,,,,,21,11,,,,10,5,61,12,11,10,,,,,10,,,,,,21,29,5,,,,,,,,,4,10,5,,
19,0,21,7,19,310.2,1063.9,4.5,448.2,577,36.497,-119.687,383.1,29.85,7/21/2009 19:00,-24,20,7,19,312.6,242.7,6.3,-5.5,540.9,37.829,-122.85,1730,23.55,352421.4731,-1.068097867,7/20/2009 19:00,7/21/2009 19:54,2009,19:54:44,40015.82917,40015.82968,36.49666667,-119.6866667,1257,383.1336,1.906,190.6,,,501,15.1,,533,239,76.2,16.6,4.238,3.3,,57.4,227,24.8,26.8,20.25,9.18,89.7,59.8,0.21,3.35,507,9.59,0.327,0.63,0.2,,,,,9.33,6.03,8.21,1.24,4.39,0.69,1.31,,579,53,92,350,9,44,39,,,,,80,27,,4,,,,,,,,14,9,,,,9,5,49,9,9,10,,,,24,13,,,,,,15,21,4,,,,,,3,,,30,85,106,,
20,0,21,7,19,309.5,1026.1,4.6,319.9,575.3,36.525,-119.792,381.9,30.45,7/21/2009 19:00,-24,20,7,19,312.3,227.9,7.2,-18.6,536.5,37.846,-123.185,1782.8,22.85,368455.826,-1.098461186,7/20/2009 19:00,7/21/2009 19:55,2009,19:56:13,40015.83021,40015.83071,36.525,-119.7916667,1253,381.9144,1.882,188.2,,,498,11.6,,531,239,76.7,16.6,4.248,3.3,,55.5,222,24.3,25.7,19.35,9.06,88.7,58.5,0.2,3.3,508,9.28,0.293,0.6,0.22,,,,,7.94,5.42,6.22,1.02,3.53,0.54,1.105,,544,40,77,204,4,14,30,,,,,54,18,,9,,,,,,,,8,3,,,,8,,45,4,20,10,,,,,8,,,,,,14,17,11,,,,,,,,,5,44,30,,
21,0,21,7,19,308.4,968.2,4.8,126.2,572.6,36.552,-119.938,382.8,31.35,7/21/2009 19:00,-24,20,7,19,311.5,273.2,6.8,43.2,531.7,37.967,-123.91,1781.4,21.55,415015.8444,-1.129108476,7/20/2009 19:00,7/21/2009 19:57,2009,19:58:11,40015.8316,40015.83207,36.55166667,-119.9383333,1256,382.8288,1.979,197.9,,,504,22,,536,243,77.7,17.1,4.352,3.4,,57.5,220,24.8,27,20.4,9.25,90,61.3,0.22,3.56,513,9.94,0.343,0.63,0.22,,,,,9.52,6.66,7.49,1.26,3.92,0.56,1.11,,564,60,92,318,9,17,29,,,,,56,22,,,,,,,,,,9,7,,,,,,37,,14,32,,,,,5,,,,,,15,22,,,,,,,,,5,55,203,256,,
22,0,21,7,19,307.8,936.3,4.8,58.7,571.1,36.578,-120.048,375.8,31.55,7/21/2009 19:00,-24,20,7,19,310.5,289.8,3.2,14.2,532.1,38.323,-124.44,1623.9,22.35,452654.3539,-1.083667697,7/20/2009 19:00,7/21/2009 19:59,2009,19:59:41,40015.83264,40015.83311,36.57833333,-120.0483333,1233,375.8184,1.905,190.5,,,468,10.4,,531,239,76.5,16.7,4.2,3.3,,52.5,209,22.7,24.7,18.15,9.14,88.5,57.9,0.22,3.14,502,9.07,0.329,0.61,0.2,,,,,8.62,5.21,5.6,0.88,3.15,0.43,0.815,,546,53,74,231,9,44,50,,,,,52,23,,,,,,,,,,9,5,,,,,,48,,16,25,,,,,7,,,,,,12,15,,,,,,,,,,,9,6,,
23,0,21,7,20,309.7,1449.4,4.6,101.2,778.2,36.602,-120.16,368.8,33.05,7/21/2009 20:00,-24,20,7,20,306.8,292.3,1.6,-7.6,739.7,39.319,-124.988,1189.7,23.25,524176.5185,-0.925281437,7/20/2009 20:00,7/21/2009 20:00,2009,20:01:07,40015.83368,40015.83411,36.60166667,-120.16,1210,368.808,1.947,194.7,,,477,19.5,,532,238,76.9,16.4,4.914,3.5,,62.3,218,23.9,29.9,22.2,9.36,88.4,60.9,0.29,3.74,527,10.06,0.49,0.65,0.62,,,,,9.36,6.14,7.05,1.49,4.08,0.53,1,,554,71,92,211,15,22,77,,4,,,49,20,,15,,,,,,,,11,6,4,,,,5,183,7,38,52,,,,,9,,,,,,69,253,10,,,,,,,,,47,197,156,26,20
24,0,21,7,20,309.5,1445.9,4.5,155.2,777.9,36.58,-120.277,365.5,32.25,7/21/2009 20:00,-24,20,7,20,305.1,300.9,2.3,-30.6,737.1,39.62,-125.108,1112.4,22.65,544335.8357,-0.870585695,7/20/2009 20:00,7/21/2009 20:02,2009,20:02:40,40015.83472,40015.83519,36.58,-120.2766667,1199,365.4552,1.892,189.2,,,488,11.5,,534,239,76.6,16.6,4.152,3.3,,54.6,211,23.2,25.7,21.9,8.97,87.6,61.3,0.2,3.07,501,9.15,0.301,0.63,0.36,,,,,10.1,5.07,5.44,0.88,2.91,0.42,0.86,,504,68,91,175,6,15,23,,,,,,18,,4,,,,,,,,7,5,,,,,,37,,9,19,,,,,6,,,,,,13,15,,,,,,,,,,6,22,24,,
25,0,21,7,20,309.2,1439.6,4.5,202.1,777.6,36.57,-120.382,365.5,31.55,7/21/2009 20:00,-24,20,7,20,303.7,304.8,3,-44.5,735.5,39.85,-125.15,1049.5,21.95,556359.9247,-0.826283135,7/20/2009 20:00,7/21/2009 20:03,2009,20:04:12,40015.83576,40015.83625,36.57,-120.3816667,1199,365.4552,1.933,193.3,,,473,14.2,,534,239,76.6,16.3,4.21,3.5,,58.3,215,23.5,27.2,20.25,9.04,88.4,55.2,0.25,3.48,508,9.64,0.414,0.66,0.28,,,,,10.89,6.05,7.45,1.01,4.16,0.62,1.235,,529,54,82,245,5,17,28,,,,,52,23,,,,,,,,,,9,3,,,,,,37,,19,18,,,,31,8,,,,,,15,20,,,,,,,,,,,6,,,
26,0,21,7,20,308.9,1410.9,4.4,209.3,777.9,36.645,-120.44,363.9,31.15,7/21/2009 20:00,-24,20,7,20,301.9,296.3,3.7,-61,735.1,40.002,-125.108,954.3,21.35,555572.7364,-0.803911627,7/20/2009 20:00,7/21/2009 20:05,2009,20:05:45,40015.83681,40015.83733,36.645,-120.44,1194,363.9312,2.014,201.4,,,506,19.7,,540,241,77.1,16.5,4.362,3.5,,66.8,236,25.4,29.9,23.55,9.32,89.6,58.5,0.3,4.12,554,11.63,1.038,0.7,0.38,,,,,12.31,7.29,9.58,1.34,5.82,0.78,1.575,,603,71,104,331,8,27,41,,,,,81,30,,,,,,,,,,13,5,,,,,,74,6,11,27,,,,4,14,,,,,,20,28,,,,,,,,,,12,28,18,,
27,0,21,7,20,308.5,1360.5,4.3,153.7,778.7,36.817,-120.402,364.2,31.35,7/21/2009 20:00,-24,20,7,20,300.5,282.4,4.2,-67.8,736.1,39.954,-125.022,862.3,20.85,537196.8946,-0.832225636,7/20/2009 20:00,7/21/2009 20:08,2009,20:08:42,40015.83889,40015.83938,36.81666667,-120.4016667,1195,364.236,1.917,191.7,,,474,15.2,,532,238,76.8,16.6,4.181,3.3,,54.9,212,22.9,24.6,18.3,8.92,87.9,56.4,0.23,3.19,502,9.04,0.249,0.62,0.24,,,,,8.83,4.81,4.88,0.79,2.8,0.36,0.745,,492,42,67,147,5,14,20,,,,,34,14,,12,,,,,,,,10,3,,,,,,28,,9,15,,,,10,6,,,,,,12,14,,,,,,,,,,,5,3,,
